City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
69,Gwadar,25.1216,62.3254,83.05,broken clouds,83,70,10.78,PK
70,Cayenne,4.9333,-52.3333,85.08,clear sky,11,0,5.75,GF
71,Tura,25.5198,90.2201,75.74,overcast clouds,92,100,2.44,IN
72,Odweyne,9.4092,45.064,74.05,clear sky,50,1,19.24,SO
73,Comodoro Rivadavia,-45.8667,-67.5,42.66,clear sky,33,0,8.05,AR
74,Shitkino,56.3703,98.3543,57.31,overcast clouds,96,100,2.48,RU
75,Richards Bay,-28.783,32.0377,67.44,clear sky,81,0,11.23,ZA
76,Shunyi,40.125,116.6453,71.55,overcast clouds,94,100,8.95,CN
77,Santa Catarina De Tepehuanes,25.35,-105.7333,82.94,overcast clouds,35,86,10.0,MX
78,Qaanaaq,77.484,-69.3632,43.21,light rain,77,99,8.9,GL
79,Klyuchi,52.2667,79.1667,64.24,clear sky,66,3,7.76,RU
80,Vardo,70.3705,31.1107,53.58,scattered clouds,82,40,9.22,NO
81,Guerrero Negro,27.9769,-114.0611,75.78,scattered clouds,59,40,19.55,MX
82,Longyearbyen,78.2186,15.6401,49.84,broken clouds,87,75,5.75,SJ
83,Hasaki,35.7333,140.8333,75.6,clear sky,88,0,18.43,JP
84,Hudson Bay,52.85,-102.3842,71.33,overcast clouds,48,99,7.99,CA
85,Vuktyl,63.8567,57.3094,46.4,few clouds,79,11,4.56,RU
86,Butaritari,3.0707,172.7902,80.98,light rain,78,13,8.97,KI
87,Olafsvik,64.8945,-23.7142,54.0,few clouds,77,13,3.91,IS
88,Arraial Do Cabo,-22.9661,-42.0278,75.06,clear sky,78,0,13.8,BR
89,Takoradi,4.8845,-1.7554,75.74,overcast clouds,76,100,10.2,GH
90,Qaqortoq,60.7167,-46.0333,51.3,scattered clouds,72,26,4.34,GL
91,Port Elizabeth,-33.918,25.5701,60.31,overcast clouds,68,100,5.01,ZA
92,Katsuura,35.1333,140.3,78.66,clear sky,87,0,18.88,JP
93,Deloraine,-41.5333,146.6667,50.36,moderate rain,15,100,1.88,AU
94,Jamestown,42.097,-79.2353,85.01,few clouds,56,20,13.8,US
95,Lensk,60.7253,114.9278,61.92,overcast clouds,92,100,3.51,RU
96,Fairbanks,64.8378,-147.7164,55.36,overcast clouds,79,100,3.44,US
97,Turukhansk,65.8167,87.9833,59.95,few clouds,77,11,12.46,RU
98,Tasiilaq,65.6145,-37.6368,41.16,scattered clouds,72,38,7.81,GL
99,Dikson,73.5069,80.5464,53.02,overcast clouds,72,100,12.84,RU
100,Castro,-24.7911,-50.0119,72.7,broken clouds,49,78,5.37,BR
101,Half Moon Bay,37.4636,-122.4286,83.88,mist,66,20,13.8,US
102,Ilulissat,69.2167,-51.1,53.62,light rain,82,100,10.36,GL
103,Saldanha,-33.0117,17.9442,56.14,overcast clouds,88,100,3.83,ZA
104,Poum,-20.2333,164.0167,76.93,overcast clouds,88,93,17.02,NC
105,Dingle,10.9995,122.6711,76.59,overcast clouds,91,94,4.99,PH
106,Ribeira Grande,38.5167,-28.7,77.4,scattered clouds,83,40,10.36,PT
107,Zarechnyy,53.2036,45.1923,58.8,light rain,97,100,5.75,RU
108,Mount Gambier,-37.8333,140.7667,51.08,light rain,97,100,10.18,AU
109,Khasan,42.4308,130.6434,65.41,overcast clouds,95,100,4.59,RU
110,Puerto Ayora,-0.7393,-90.3518,80.56,few clouds,84,17,8.99,EC
111,Constitucion,-35.3333,-72.4167,59.99,few clouds,76,16,8.97,CL
112,La Roda,39.2167,-2.15,96.4,clear sky,15,7,2.73,ES
113,Hithadhoo,-0.6,73.0833,81.52,overcast clouds,74,100,7.47,MV
114,Geraldton,-28.7667,114.6,52.21,broken clouds,82,75,13.8,AU
115,Ostersund,63.1792,14.6357,54.61,broken clouds,82,75,10.36,SE
116,Gobabis,-22.45,18.9667,57.97,few clouds,37,11,11.14,NA
117,Saint-Augustin,51.226,-58.6502,65.48,overcast clouds,67,100,17.65,CA
118,Nizhniy Baskunchak,48.2198,46.8311,73.76,clear sky,43,0,6.96,RU
119,Port Moresby,-9.4431,147.1797,74.61,broken clouds,91,81,4.32,PG
120,Paragominas,-2.9667,-47.4833,91.6,overcast clouds,38,100,2.44,BR
121,Reinosa,42.9996,-4.138,55.45,overcast clouds,98,100,6.46,ES
122,Mandalgovi,45.7625,106.2708,58.98,few clouds,55,15,7.96,MN
123,Kidal,18.4411,1.4078,101.71,overcast clouds,13,99,7.54,ML
124,Kandrian,-6.2167,149.55,76.17,overcast clouds,87,100,2.91,PG
125,Odda,60.0691,6.5457,67.28,overcast clouds,73,100,3.02,NO
126,Berlevag,70.8578,29.0864,55.2,broken clouds,87,75,12.66,NO
127,Mangai,-4.05,19.5333,80.85,overcast clouds,53,100,3.0,CD
128,Katobu,-4.9408,122.5276,71.89,few clouds,88,22,4.05,ID
129,Saint George,37.1041,-113.5841,108.79,clear sky,14,0,8.05,US
130,Severo-Kurilsk,50.6789,156.125,54.37,few clouds,93,21,3.27,RU
131,Berdigestyakh,62.0989,126.6992,59.88,overcast clouds,98,99,1.1,RU
132,Sulangan,11.1373,123.7228,83.35,broken clouds,77,77,6.49,PH
133,Bolgatanga,10.7856,-0.8514,81.63,light rain,67,100,3.85,GH
134,Alofi,-19.0595,-169.9187,67.89,overcast clouds,100,100,1.14,NU
135,Narsaq,60.9167,-46.05,64.62,scattered clouds,60,32,4.65,GL
136,San Cristobal,7.7669,-72.225,80.78,broken clouds,46,61,7.92,VE
137,Flin Flon,54.7682,-101.865,58.84,smoke,72,100,3.44,CA
138,Ketchikan,55.3422,-131.6461,63.07,broken clouds,72,75,8.05,US
139,Lorengau,-2.0226,147.2712,81.43,scattered clouds,80,33,8.01,PG
140,Esperance,-33.8667,121.9,54.28,overcast clouds,73,100,16.17,AU
141,Dubai,25.2582,55.3047,98.53,clear sky,53,0,10.36,AE
142,Tuktoyaktuk,69.4541,-133.0374,58.48,overcast clouds,64,89,4.81,CA
143,Mahebourg,-20.4081,57.7,70.25,broken clouds,83,75,12.66,MU
144,Svobodnyy,51.4,128.1333,59.09,scattered clouds,85,29,6.15,RU
145,Avera,33.194,-82.5271,88.38,overcast clouds,48,100,9.42,US
146,Filadelfia,39.9523,-75.1638,98.1,scattered clouds,35,40,7.0,US
147,Venice,27.0998,-82.4543,98.15,clear sky,61,0,11.5,US
148,Samarai,-10.6167,150.6667,79.92,scattered clouds,80,31,5.97,PG
149,Marienburg,54.0359,19.0266,71.11,clear sky,84,3,6.87,PL
150,Haines Junction,60.7522,-137.5108,50.74,overcast clouds,76,100,7.02,CA
151,Kaniama,-7.5667,24.1833,75.25,broken clouds,37,54,4.5,CD
152,Necochea,-38.5473,-58.7368,49.59,overcast clouds,70,98,5.57,AR
153,Seidu,9.0167,-10.6,70.74,light rain,94,91,3.11,SL
154,Xining,36.6167,101.7667,52.07,clear sky,67,0,1.95,CN
155,Kununurra,-15.7667,128.7333,55.38,clear sky,82,8,1.14,AU
156,Pueblo Nuevo,23.3833,-105.3833,75.94,scattered clouds,49,38,7.81,MX
157,Souillac,-20.5167,57.5167,70.07,clear sky,79,2,17.38,MU
158,Enna,37.5588,14.2892,78.22,clear sky,43,9,2.73,IT
159,Tuatapere,-46.1333,167.6833,36.41,few clouds,93,16,3.58,NZ
160,Nacogdoches,31.6002,-94.6335,91.26,clear sky,49,0,0.0,US
161,Marsh Harbour,26.5412,-77.0636,84.15,clear sky,71,0,15.73,BS
162,Bucerias,20.75,-105.3333,93.97,few clouds,62,20,9.22,MX
163,Aykhal,66.0,111.5,51.46,clear sky,87,0,2.66,RU
164,Harboore,56.6175,8.1807,58.17,overcast clouds,94,100,11.68,DK
165,Itarema,-2.9248,-39.9167,84.43,broken clouds,65,82,17.27,BR
166,Batemans Bay,-35.7167,150.1833,51.1,light rain,94,19,5.12,AU
167,Hofn,64.2539,-15.2082,52.34,scattered clouds,92,47,7.9,IS
168,Saint-Philippe,-21.3585,55.7679,65.79,light rain,83,45,13.13,RE
169,Yibin,28.7667,104.6238,69.1,overcast clouds,92,100,2.62,CN
170,Hecun,36.5333,114.1111,69.1,broken clouds,84,71,4.29,CN
171,Muzhi,65.3667,64.6667,47.23,overcast clouds,74,100,10.85,RU
172,Bengkulu,-3.8004,102.2655,75.63,overcast clouds,88,99,3.51,ID
173,Waddan,29.1614,16.139,85.53,clear sky,25,0,8.1,LY
174,Ketou,7.3633,2.5998,74.86,light rain,91,100,5.32,BJ
175,Mandapam,9.2833,79.1167,81.79,overcast clouds,81,100,6.02,IN
176,Winnemucca,40.973,-117.7357,91.45,clear sky,9,0,10.36,US
177,Muros,42.7762,-9.0603,74.68,clear sky,65,0,13.82,ES
178,Bethel,41.3712,-73.414,95.04,clear sky,39,0,10.36,US
179,Namibe,-15.1961,12.1522,62.53,few clouds,89,15,6.04,AO
180,Sitka,57.0531,-135.33,55.29,light rain,82,100,10.36,US
181,Chuy,-33.6971,-53.4616,58.42,overcast clouds,89,100,4.79,UY
182,Praia,14.9215,-23.5087,79.34,scattered clouds,73,40,4.61,CV
183,Sharlyk,52.9167,54.75,64.26,overcast clouds,77,100,7.63,RU
184,Arzgir,45.3728,44.2206,70.36,light rain,62,97,11.5,RU
185,Marsa Matruh,31.3525,27.2453,78.58,clear sky,75,0,10.65,EG
186,Traverse City,44.7631,-85.6206,90.0,few clouds,31,20,16.11,US
187,Dutse,11.7594,9.3392,80.92,overcast clouds,68,100,9.98,NG
188,Laurel,39.0993,-76.8483,97.61,clear sky,46,0,10.36,US
189,Lagoa,39.05,-27.9833,72.81,overcast clouds,88,100,9.46,PT
190,Okoneshnikovo,54.8377,75.0834,57.06,scattered clouds,78,43,6.85,RU
191,Biak,-0.9131,122.8766,75.52,broken clouds,88,59,7.16,ID
192,Barsovo,61.1667,73.1667,51.93,clear sky,69,7,4.03,RU
193,Touros,-5.1989,-35.4608,78.6,overcast clouds,78,100,16.35,BR
194,Lluta,-16.0147,-72.0142,62.24,clear sky,21,0,11.21,PE
195,Aklavik,68.2191,-135.0107,69.8,broken clouds,64,75,4.61,CA
196,Namatanai,-3.6667,152.4333,78.12,clear sky,80,8,6.78,PG
197,Kutum,14.2,24.6667,84.97,clear sky,31,4,7.47,SD
198,Kahului,20.8947,-156.47,84.22,few clouds,63,20,20.71,US
199,Black Diamond,47.3087,-122.0032,68.02,broken clouds,72,80,3.0,US
200,Ambulu,-8.345,113.6058,72.91,broken clouds,88,59,3.31,ID
201,Padrauna,26.9025,83.9819,82.81,overcast clouds,78,100,9.93,IN
202,Nanpiao,41.0982,120.7479,73.36,overcast clouds,79,100,1.88,CN
203,Prince Rupert,54.3161,-130.3201,57.4,overcast clouds,77,95,4.56,CA
204,Ponta Delgada,37.7333,-25.6667,72.32,few clouds,78,20,8.05,PT
205,Ambilobe,-13.2,49.05,65.57,clear sky,77,0,4.79,MG
206,Kieta,-6.2167,155.6333,76.69,clear sky,74,5,3.87,PG
207,College,64.8569,-147.8028,55.35,overcast clouds,78,100,5.75,US
208,Port Blair,11.6667,92.75,77.04,overcast clouds,100,100,3.44,IN
209,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,broken clouds,88,75,0.0,RU
210,Torbay,47.6666,-52.7314,74.17,broken clouds,71,75,12.66,CA
211,Erzin,36.9559,36.2,77.14,clear sky,62,0,3.04,TR
212,Port Hardy,50.6996,-127.4199,60.98,broken clouds,77,75,4.61,CA
213,Cardston,49.2,-113.3019,64.69,overcast clouds,59,100,3.44,CA
214,Isla Mujeres,21.2311,-86.731,82.45,scattered clouds,67,28,11.23,MX
215,Gillette,44.2911,-105.5022,98.11,clear sky,11,0,14.0,US
216,Clyde River,70.4692,-68.5914,55.63,broken clouds,62,75,16.11,CA
217,Margate,51.3813,1.3862,64.9,broken clouds,79,71,4.0,GB
218,Prescott,34.54,-112.4685,97.27,clear sky,23,0,8.05,US
219,Tonj,7.2737,28.6822,71.89,moderate rain,93,13,3.69,SS
220,Lata,40.1629,-8.3327,75.31,few clouds,48,12,5.86,PT
221,Banda Aceh,5.5577,95.3222,78.26,light rain,84,100,3.04,ID
222,Lebu,-37.6167,-73.65,53.92,overcast clouds,96,100,12.15,CL
223,Katangli,51.7102,143.2326,50.88,overcast clouds,96,100,7.34,RU
224,Fougamou,-1.2154,10.5838,81.34,overcast clouds,54,94,5.73,GA
225,Lasa,46.6166,10.7002,77.88,broken clouds,83,59,3.8,IT
226,Pangnirtung,66.1451,-65.7125,50.0,few clouds,81,20,9.22,CA
227,Rundu,-17.9333,19.7667,63.61,few clouds,42,16,7.0,NA
228,Lima,-12.0432,-77.0282,69.91,overcast clouds,67,100,4.61,PE
229,Koungou,-12.7336,45.2042,73.11,broken clouds,83,75,5.75,YT
230,Michigan City,41.7075,-86.895,90.05,clear sky,41,0,0.0,US
231,Cam Ranh,11.9214,109.1591,76.96,few clouds,83,20,3.44,VN
232,Bilasipara,26.232,90.2347,81.59,overcast clouds,86,100,2.71,IN
233,Maputo,-25.9653,32.5892,64.08,scattered clouds,94,40,5.75,MZ
234,Airai,-8.9266,125.4092,51.75,overcast clouds,79,99,2.37,TL
235,Norman Wells,65.282,-126.8329,73.27,overcast clouds,45,91,7.96,CA
236,Rafsanjan,30.4067,55.9939,90.3,clear sky,10,6,4.72,IR
237,Caninde De Sao Francisco,-9.66,-37.7894,78.4,broken clouds,66,79,10.31,BR
238,Henties Bay,-22.116,14.2845,61.11,clear sky,66,0,6.49,NA
239,Cherskiy,68.75,161.3,39.96,few clouds,72,12,4.63,RU
240,Broome,42.2506,-75.833,86.38,few clouds,48,20,6.91,US
241,Chicama,-7.8447,-79.1469,63.14,clear sky,61,9,10.78,PE
242,Saint-Pierre,-21.3393,55.4781,67.91,clear sky,72,0,5.75,RE
243,Riberalta,-10.9833,-66.1,91.6,scattered clouds,46,40,9.22,BO
244,Kloulklubed,7.0419,134.2556,82.15,broken clouds,77,59,7.81,PW
245,Beloha,-25.1667,45.05,64.56,clear sky,89,0,8.46,MG
246,Kasongo-Lunda,-6.4667,16.8167,83.84,overcast clouds,34,88,1.79,CD
247,Uvat,59.1433,68.8953,52.3,scattered clouds,89,46,5.19,RU
248,Lakhipur,26.0299,90.3041,81.23,overcast clouds,87,100,2.95,IN
249,Viedma,-40.8135,-62.9967,50.79,overcast clouds,43,95,5.19,AR
250,Egvekinot,66.3167,-179.1667,38.26,overcast clouds,83,100,9.35,RU
251,Kamarion,36.8,25.8167,78.1,clear sky,72,0,26.82,GR
252,Saint-Joseph,-21.3667,55.6167,64.78,few clouds,79,19,13.02,RE
253,Taoudenni,22.6783,-3.9836,105.62,scattered clouds,13,30,3.36,ML
254,Adrar,20.5022,-10.0711,96.31,broken clouds,32,78,1.57,MR
255,Saint-Denis,48.9167,2.3333,72.16,moderate rain,84,100,8.05,FR
256,Santa Cruz De Tenerife,28.4682,-16.2546,80.58,scattered clouds,78,40,13.8,ES
257,Hun,29.1268,15.9477,85.75,clear sky,23,0,7.99,LY
258,Sao Filipe,14.8961,-24.4956,76.14,overcast clouds,77,96,4.65,CV
259,Harlingen,26.1906,-97.6961,96.89,scattered clouds,35,40,16.11,US
260,Ojinaga,29.5667,-104.4167,101.57,broken clouds,34,75,0.0,MX
261,Griffith,41.5284,-87.4237,91.89,clear sky,41,0,8.05,US
262,Aitape,-3.1374,142.3475,76.41,broken clouds,88,75,4.61,PG
263,Moussoro,13.6408,16.4901,89.13,overcast clouds,48,100,6.58,TD
264,Krasnyy Bogatyr,56.0145,41.1296,61.68,clear sky,73,0,3.98,RU
265,Ancud,-41.8697,-73.8203,40.23,moderate rain,97,100,12.03,CL
266,Lakewood,39.7047,-105.0814,95.92,scattered clouds,21,36,7.0,US
267,Along,28.1667,94.7667,76.77,overcast clouds,83,100,1.43,IN
268,Torrijos,39.9819,-4.2835,100.08,scattered clouds,10,33,12.39,ES
269,Poso,-1.3959,120.7524,75.83,few clouds,86,12,5.26,ID
270,Orlik,52.5178,99.825,53.24,light rain,82,100,3.36,RU
271,Syamzha,60.0158,41.0614,66.94,overcast clouds,72,99,4.43,RU
272,Kostomuksha,64.571,30.5767,64.8,scattered clouds,82,27,5.68,RU
273,Flinders,-34.5833,150.8552,51.19,broken clouds,92,83,5.99,AU
274,Fare,-16.7,-151.0167,77.63,light rain,75,7,9.98,PF
275,Kant,27.8,79.8,84.87,overcast clouds,74,100,8.61,IN
276,Port Alfred,-33.5906,26.891,65.07,overcast clouds,64,100,5.7,ZA
277,Beaverlodge,55.2166,-119.4361,69.15,scattered clouds,47,34,5.08,CA
278,Erie,42.7667,-78.6664,85.05,clear sky,67,6,11.01,US
279,Ahipara,-35.1667,173.1667,47.37,overcast clouds,86,99,6.91,NZ
280,Yelizovo,53.1873,158.3805,55.54,broken clouds,87,75,0.0,RU
281,Waipawa,-41.4122,175.5153,42.73,overcast clouds,73,100,2.95,NZ
282,Pisco,-13.7,-76.2167,62.65,haze,77,20,10.36,PE
283,Nanakuli,21.3906,-158.1547,82.35,broken clouds,61,75,9.22,US
284,Port Hedland,-20.3167,118.5667,66.25,mist,100,0,5.75,AU
285,Kilindoni,-7.9139,39.6668,75.45,clear sky,76,0,14.97,TZ
286,Hopelchen,19.7667,-89.85,101.05,overcast clouds,26,98,6.15,MX
287,Bambous Virieux,-20.3428,57.7575,70.21,light rain,83,75,12.66,MU
288,Wonthaggi,-38.6044,145.5913,48.81,light rain,73,100,5.57,AU
289,Ust-Maya,60.4167,134.5333,65.73,overcast clouds,74,100,1.88,RU
290,Baturaja,-4.1333,104.1667,72.41,overcast clouds,98,100,2.57,ID
291,Sioux Lookout,50.1001,-91.917,68.07,light intensity shower rain,73,75,10.36,CA
292,Hirna,9.2167,41.1,64.06,broken clouds,71,83,9.42,ET
293,Chara,56.9064,118.2631,65.21,overcast clouds,79,99,2.42,RU
294,Kamenka,51.3223,42.7678,58.87,overcast clouds,86,96,4.92,RU
295,Youkounkoun,12.5333,-13.1333,76.69,moderate rain,92,100,4.74,GN
296,Stepnoye,51.4,46.8667,66.92,overcast clouds,61,100,6.26,RU
297,Bijar,35.8668,47.6051,71.85,clear sky,19,0,9.37,IR
298,Miramar,25.9873,-80.2323,93.0,clear sky,63,0,16.11,US
299,Midyat,37.4247,41.3393,82.36,clear sky,22,0,6.08,TR
300,Matara,5.9485,80.5353,77.99,overcast clouds,89,100,13.06,LK
301,Saskylakh,71.9167,114.0833,48.16,overcast clouds,71,99,6.02,RU
302,Sao Joao De Pirabas,-0.7747,-47.1772,83.52,overcast clouds,67,94,7.74,BR
303,Brownwood,31.7093,-98.9912,102.2,few clouds,29,11,7.63,US
304,Sorland,67.667,12.6934,51.66,overcast clouds,86,100,24.23,NO
305,Killybegs,54.6333,-8.45,69.51,broken clouds,67,69,3.29,IE
306,Tallahassee,30.4383,-84.2807,92.75,broken clouds,62,75,5.75,US
307,Diego De Almagro,-26.3667,-70.05,69.3,overcast clouds,26,100,6.51,CL
308,Nikolskoye,59.7035,30.7861,73.29,scattered clouds,70,26,5.91,RU
309,Ejido,8.5514,-71.2375,75.29,overcast clouds,78,100,3.13,VE
310,Kaitangata,-46.2817,169.8464,36.9,few clouds,92,15,3.85,NZ
311,Bykovo,55.6361,38.0803,68.36,clear sky,64,0,6.71,RU
312,Parfenyevo,58.484,43.4088,65.34,overcast clouds,78,100,5.99,RU
313,Carnot,4.9409,15.8665,68.95,light rain,99,100,2.06,CF
314,Zlobin,45.2924,14.6541,75.58,clear sky,51,0,3.44,HR
315,Bastrop,32.7562,-91.8724,94.68,clear sky,35,8,2.04,US
316,Hare Bay,48.8499,-54.0148,87.19,overcast clouds,42,100,5.59,CA
317,Anito,12.4497,125.2886,79.05,overcast clouds,87,100,1.43,PH
318,Grand-Santi,4.25,-54.3833,83.91,scattered clouds,80,34,2.3,GF
319,Hai Duong,20.9333,106.3167,80.6,overcast clouds,90,87,2.17,VN
320,Isla Vista,34.4133,-119.861,85.91,fog,72,20,8.05,US
321,Rudnya,54.947,31.0934,65.17,broken clouds,72,55,0.98,RU
322,Mayo,38.8876,-76.5119,97.11,clear sky,49,0,6.91,US
323,Salihorsk,52.7876,27.5415,66.18,clear sky,71,0,6.26,BY
324,Pinalejo,15.3833,-88.4,83.37,overcast clouds,92,100,3.42,HN
325,Dubbo,-32.25,148.6167,44.73,broken clouds,87,66,12.66,AU
326,Tabuk,17.4189,121.4443,75.09,clear sky,92,4,3.27,PH
327,Havre-Saint-Pierre,50.2334,-63.5986,66.56,mist,94,100,4.61,CA
328,Igrim,63.1906,64.4162,46.31,broken clouds,78,60,4.72,RU
329,Rio Gallegos,-51.6226,-69.2181,39.25,clear sky,60,0,25.32,AR
330,Chabahar,25.2919,60.643,83.59,broken clouds,82,66,12.15,IR
331,Bianzhuang,34.8486,118.0447,75.15,light rain,94,100,9.22,CN
332,Eureka,40.8021,-124.1637,65.19,few clouds,75,15,5.01,US
333,Jatai,-17.8814,-51.7144,85.24,clear sky,25,2,4.25,BR
334,Srandakan,-7.9386,110.2506,74.05,broken clouds,86,78,5.1,ID
335,Roald,62.5833,6.1333,60.91,scattered clouds,82,40,16.11,NO
336,Hendersonville,36.3048,-86.62,99.12,clear sky,45,0,1.99,US
337,Severomuysk,56.1481,113.4267,56.21,overcast clouds,89,87,5.23,RU
338,Mulanje,-16.0316,35.5,62.47,clear sky,75,5,7.54,MW
339,Rassvet,46.8333,40.75,65.71,light rain,89,33,9.78,RU
340,Baruun-Urt,46.6806,113.2792,62.28,overcast clouds,56,100,6.53,MN
341,Kavieng,-2.5744,150.7967,81.5,light rain,77,40,10.45,PG
342,Sechura,-5.5569,-80.8222,73.49,few clouds,62,16,13.82,PE
