City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Baisha,CN,76.01,clear sky,26.5222,110.9311,Xiangcun Old Place Hotel
133,Camocim,BR,82.6,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
134,Uige,AO,75.74,overcast clouds,-7.6087,15.0613,Hotel Catraio
135,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
136,Lompoc,US,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
137,Padampur,IN,86.34,heavy intensity rain,29.6833,73.6167,Sidhu wali dhani
138,Arrecife,ES,78.78,few clouds,28.963,-13.5477,Hotel Lancelot
139,Pundaguitan,PH,82.36,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
140,Kedougou,SN,84.78,broken clouds,12.5579,-12.1743,Relais de Kédougou
141,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
142,Isangel,VU,75.81,heavy intensity rain,-19.55,169.2667,Tanna Lodge
143,Padang,ID,78.04,overcast clouds,-0.9492,100.3543,Mercure Padang
144,Mahuva,IN,80.26,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
145,Mangan,IN,75.88,light rain,27.5167,88.5333,Hotel Mout View
146,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
147,Lucapa,AO,75.36,clear sky,-8.4192,20.7447,Lírio Mendes
148,Iglesias,IT,85.73,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
149,Zamora,EC,76.01,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
150,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Green leaf
151,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
152,Luorong,CN,79.16,clear sky,24.4058,109.6086,荣立大酒店
153,Nautanwa,IN,83.88,overcast clouds,27.4333,83.4167,Plot: S S Srivastava
154,Amapa,BR,81.66,overcast clouds,1.0,-52.0,
155,Nago,JP,85.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
156,Cururupu,BR,85.05,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
157,Qingdao,CN,76.6,heavy intensity rain,36.0986,120.3719,Le Meridien Qingdao
158,Ranong,TH,77.7,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
159,Estevan,CA,80.94,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
160,Assiniboia,CA,78.62,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
161,Borba,BR,82.87,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
162,Vanimo,PG,76.69,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
163,Chhatak,BD,81.75,very heavy rain,25.0333,91.6667,Hotel Sadi Internationl
164,Nador,MA,82.47,few clouds,35.174,-2.9287,Hôtel La Giralda
165,Rosetta,EG,77.85,clear sky,31.4044,30.4164,Green Valley
166,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
167,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
168,Sungai Pelek,MY,75.33,few clouds,2.6449,101.717,Artegy @ Sepang Gold Coast
169,Barreirinhas,BR,86.88,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
170,Lugovoy,KZ,80.74,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
171,Kumluca,TR,84.96,clear sky,36.3703,30.2869,Akkol Apart
172,Capao Bonito,BR,79.59,clear sky,-24.0058,-48.3494,HOTEL PASSARIM
173,Meulaboh,ID,76.44,moderate rain,4.1363,96.1285,Kost Pria
174,Mogadishu,SO,75.92,few clouds,2.0371,45.3438,Hotel Juba
175,Kashi,CN,83.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
176,Ergani,TR,78.69,clear sky,38.2653,39.7621,Serkan Hotel
177,Shahabad,IN,84.92,overcast clouds,27.65,79.95,डाक बंगला
178,Halifax,CA,85.89,scattered clouds,44.6453,-63.5724,Hotel Halifax
179,Porto Novo,BJ,76.05,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
180,Rodos,GR,85.66,clear sky,36.4408,28.2225,Spirit of the Knights Boutique Hotel
181,Pandan,PH,80.96,overcast clouds,14.0453,124.1694,Bonifacio Lodge
182,Belen,TR,75.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
183,Cabanas,CU,87.55,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
184,Makhachkala,RU,75.18,clear sky,42.9764,47.5024,Argo
185,Ushtobe,KZ,78.06,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
186,Sturgeon Falls,CA,80.13,overcast clouds,46.3646,-79.9326,Lincoln Motel
187,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
188,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
189,Nantucket,US,89.74,clear sky,41.2835,-70.0995,Jared Coffin House
190,Lao Cai,VN,75.87,overcast clouds,22.4833,103.95,Legend Hotel
191,Iracoubo,GF,82.58,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
