City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Arraial Do Cabo,BR,2022-07-22 16:23:10,-22.9661,-42.0278,73.09,75,2,13.76
59,Korhogo,CI,2022-07-22 16:23:10,9.45,-5.6333,82.99,62,100,3.62
60,Margate,GB,2022-07-22 16:23:11,51.3813,1.3862,68.31,73,100,4.0
61,Tiarei,PF,2022-07-22 16:23:11,-17.5333,-149.3333,71.01,80,31,10.31
62,Coahuayana,MX,2022-07-22 16:23:11,18.7333,-103.6833,88.39,63,90,2.91
63,Berdigestyakh,RU,2022-07-22 16:23:12,62.0989,126.6992,60.22,98,98,2.21
64,Maarianhamina,AX,2022-07-22 16:23:12,60.0973,19.9348,63.18,84,47,5.41
65,Bandarbeyla,SO,2022-07-22 16:23:12,9.4942,50.8122,77.9,81,96,34.49
66,Kapaa,US,2022-07-22 16:23:13,22.0752,-159.319,72.12,94,14,9.28
67,Abbeville,FR,2022-07-22 16:23:13,50.1,1.8333,82.26,48,93,4.05
68,Chapais,CA,2022-07-22 16:23:14,49.7834,-74.8492,71.31,55,45,12.88
69,Ormara,PK,2022-07-22 16:21:58,25.2088,64.6357,84.0,85,100,9.6
70,Victor Harbor,AU,2022-07-22 16:23:14,-35.5667,138.6167,55.69,91,100,10.31
71,Puerto Ayora,EC,2022-07-22 16:22:29,-0.7393,-90.3518,72.55,82,55,8.01
72,Trondheim,NO,2022-07-22 16:20:14,63.4305,10.3951,57.99,78,79,3.0
73,Sioux Lookout,CA,2022-07-22 16:23:15,50.1001,-91.917,65.75,71,46,7.94
74,Sur,OM,2022-07-22 16:23:15,22.5667,59.5289,89.85,63,79,8.43
75,Provideniya,RU,2022-07-22 16:19:59,64.3833,-173.3,40.8,85,65,9.64
76,Paamiut,GL,2022-07-22 16:23:16,61.994,-49.6678,47.37,79,6,6.04
77,Namtsy,RU,2022-07-22 16:23:16,62.7161,129.6658,62.35,91,94,3.62
78,Limbang,MY,2022-07-22 16:23:17,4.75,115.0,73.74,97,100,2.33
79,Volzhsk,RU,2022-07-22 16:23:17,55.8664,48.3594,69.78,70,20,3.04
80,Sao Filipe,CV,2022-07-22 16:23:18,14.8961,-24.4956,75.97,80,73,7.56
81,Saint-Philippe,RE,2022-07-22 16:23:18,-21.3585,55.7679,67.21,82,32,13.4
82,Nanortalik,GL,2022-07-22 16:18:24,60.1432,-45.2371,47.97,81,40,5.53
83,Bluff,NZ,2022-07-22 16:23:19,-46.6,168.3333,35.8,83,94,7.31
84,Aleksinac,RS,2022-07-22 16:23:19,43.5417,21.7078,97.56,13,0,5.1
85,Mpophomeni,ZA,2022-07-22 16:23:19,-29.5682,30.1862,55.69,49,0,3.13
86,Tezu,IN,2022-07-22 16:24:20,27.9167,96.1667,77.0,77,100,3.67
87,Elk River,US,2022-07-22 16:24:20,45.3038,-93.5672,87.06,52,13,5.01
88,Sayyan,YE,2022-07-22 16:24:21,15.1718,44.3244,69.96,51,65,1.41
89,College,US,2022-07-22 16:24:21,64.8569,-147.8028,52.59,90,100,4.54
90,Yellowknife,CA,2022-07-22 16:20:32,62.456,-114.3525,62.56,59,95,4.0
91,Victoria,HK,2022-07-22 16:23:58,22.2855,114.1577,89.19,80,3,10.0
92,Cabo San Lucas,MX,2022-07-22 16:23:43,22.8909,-109.9124,85.53,61,97,5.88
93,Viedma,AR,2022-07-22 16:24:22,-40.8135,-62.9967,50.14,52,96,6.11
94,Khatanga,RU,2022-07-22 16:24:19,71.9667,102.5,47.07,82,100,14.25
95,Bredasdorp,ZA,2022-07-22 16:23:31,-34.5322,20.0403,55.58,62,100,7.0
96,Champoton,MX,2022-07-22 16:24:23,19.35,-90.7167,88.95,53,34,4.79
97,Gwembe,ZM,2022-07-22 16:24:23,-16.4975,27.6069,65.32,44,75,5.99
98,Saint George,US,2022-07-22 16:23:43,37.1041,-113.5841,94.42,21,31,3.0
99,Kerema,PG,2022-07-22 16:24:24,-7.9631,145.7785,76.3,90,45,2.62
100,Cape Town,ZA,2022-07-22 16:24:24,-33.9258,18.4232,59.34,79,100,4.0
